vendor_name,model_name,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
0.0,29.0,125.0,256.0,6000.0,256.0,16.0,128.0,198.0,199.0
1.0,62.0,29.0,8000.0,32000.0,32.0,8.0,32.0,269.0,253.0
1.0,63.0,29.0,8000.0,32000.0,32.0,8.0,32.0,220.0,253.0
1.0,64.0,29.0,8000.0,32000.0,32.0,8.0,32.0,172.0,253.0
1.0,65.0,29.0,8000.0,16000.0,32.0,8.0,16.0,132.0,132.0
1.0,66.0,26.0,8000.0,32000.0,64.0,8.0,32.0,318.0,290.0
1.0,74.0,23.0,16000.0,32000.0,64.0,16.0,32.0,367.0,381.0
1.0,75.0,23.0,16000.0,32000.0,64.0,16.0,32.0,489.0,381.0
1.0,76.0,23.0,16000.0,64000.0,64.0,16.0,32.0,636.0,749.0
1.0,77.0,23.0,32000.0,64000.0,128.0,32.0,64.0,1144.0,1238.0
2.0,148.0,400.0,1000.0,3000.0,0.0,1.0,2.0,38.0,23.0
2.0,149.0,400.0,512.0,3500.0,4.0,1.0,6.0,40.0,24.0
3.0,92.0,60.0,2000.0,8000.0,65.0,1.0,8.0,92.0,70.0
3.0,93.0,50.0,4000.0,16000.0,65.0,1.0,8.0,138.0,117.0
4.0,73.0,350.0,64.0,64.0,0.0,1.0,4.0,10.0,15.0
4.0,102.0,200.0,512.0,16000.0,0.0,4.0,32.0,35.0,64.0
5.0,129.0,167.0,524.0,2000.0,8.0,4.0,15.0,19.0,23.0
5.0,130.0,143.0,512.0,5000.0,0.0,7.0,32.0,28.0,29.0
5.0,131.0,143.0,1000.0,2000.0,0.0,5.0,16.0,31.0,22.0
5.0,132.0,110.0,5000.0,5000.0,142.0,8.0,64.0,120.0,124.0
5.0,133.0,143.0,1500.0,6300.0,0.0,5.0,32.0,30.0,35.0
5.0,134.0,143.0,3100.0,6200.0,0.0,5.0,20.0,33.0,39.0
5.0,135.0,143.0,2300.0,6200.0,0.0,6.0,64.0,61.0,40.0
5.0,136.0,110.0,3100.0,6200.0,0.0,6.0,64.0,76.0,45.0
6.0,79.0,320.0,128.0,6000.0,0.0,1.0,12.0,23.0,28.0
6.0,186.0,320.0,512.0,2000.0,4.0,1.0,3.0,69.0,21.0
6.0,187.0,320.0,256.0,6000.0,0.0,1.0,6.0,33.0,28.0
6.0,188.0,320.0,256.0,3000.0,4.0,1.0,3.0,27.0,22.0
6.0,189.0,320.0,512.0,5000.0,4.0,1.0,5.0,77.0,28.0
6.0,190.0,320.0,256.0,5000.0,4.0,1.0,6.0,27.0,27.0
8.0,140.0,25.0,1310.0,2620.0,131.0,12.0,24.0,274.0,102.0
